team,conf,division,team_abbr
27,NFC,WEST,SF
18,NFC,WEST,LAR
17,NFC,WEST,LAC
16,NFC,WEST,LV
28,AFC,WEST,SEA
0,AFC,WEST,ARI
9,AFC,WEST,DEN
15,AFC,WEST,KC
8,NFC,SOUTH,DAL
12,NFC,SOUTH,HOU
22,NFC,SOUTH,NO
1,NFC,SOUTH,ATL
4,AFC,SOUTH,CAR
14,AFC,SOUTH,JAX
29,AFC,SOUTH,TB
19,AFC,SOUTH,MIA
5,AFC,CENTRAL,CHI
13,AFC,CENTRAL,IND
30,AFC,CENTRAL,TEN
6,AFC,CENTRAL,CIN
20,NFC,CENTRAL,MIN
11,NFC,CENTRAL,GB
10,NFC,CENTRAL,DET
7,NFC,CENTRAL,CLE
26,AFC,EAST,PIT
3,AFC,EAST,BUF
21,AFC,EAST,NE
25,AFC,EAST,PHI
24,NFC,EAST,NYJ
23,NFC,EAST,NYG
31,NFC,EAST,WAS
2,NFC,EAST,BAL
