field,name,team_abbr,conf,division,team_lat,team_lng
Chase Field,Arizona Diamondbacks,ARI,NL,WEST,33.44527778,-112.0669444
Turner Field,Atlanta Braves,ATL,NL,EAST,33.73527778,-84.38944444
Oriole Park at Camden Yards,Baltimore Orioles,BAL,AL,EAST,39.28388889,-76.62166667
Fenway Park,Boston Red Sox,BOS,AL,EAST,42.34638889,-71.0975
Wrigley Field,Chicago Cubs,CHC,NL,CENTRAL,41.94833333,-87.65555556
U.S. Cellular Field,Chicago White Sox,CHW,AL,CENTRAL,41.83,-87.63388889
Great American Ball Park,Cincinnati Reds,CIN,NL,CENTRAL,39.0975,-84.50666667
Progressive Field,Cleveland Guardians,CLE,AL,CENTRAL,41.49583333,-81.68527778
Coors Field,Colorado Rockies,COL,NL,WEST,39.75611111,-104.9941667
Comerica Park,Detroit Tigers,DET,AL,CENTRAL,42.33916667,-83.04861111
Minute Maid Park,Houston Astros,HOU,AL,WEST,29.75694444,-95.35555556
Kauffman Stadium,Kansas City Royals,KCR,AL,CENTRAL,39.05138889,-94.48055556
Angel Stadium of Anaheim,Los Angeles Angels of Anaheim,LAA,AL,WEST,33.80027778,-117.8827778
Dodger Stadium,Los Angeles Dodgers,LAD,NL,WEST,34.07361111,-118.24
Marlins Park,Miami Marlins,MIA,NL,EAST,25.77805556,-80.21972222
Miller Park,Milwaukee Brewers,MIL,NL,CENTRAL,43.02833333,-87.97111111
Target Field,Minnesota Twins,MIN,AL,CENTRAL,44.98166667,-93.27833333
Citi Field,New York Mets,NYM,NL,EAST,40.75694444,-73.84583333
Yankee Stadium,New York Yankees,NYY,AL,EAST,40.82916667,-73.92638889
O.co Coliseum,Oakland Athletics,OAK,AL,WEST,37.75166667,-122.2005556
Citizens Bank Park,Philadelphia Phillies,PHI,NL,EAST,39.90583333,-75.16638889
PNC Park,Pittsburgh Pirates,PIT,NL,CENTRAL,40.44694444,-80.00583333
Petco Park,San Diego Padres,SDP,NL,WEST,32.70729983,-117.1565998
Safeco Field,Seattle Mariners,SEA,AL,WEST,47.59138889,-122.3325
AT&T Park,San Francisco Giants,SFG,NL,WEST,37.77833333,-122.3894444
Busch Stadium,St. Louis Cardinals,STL,NL,CENTRAL,38.6225,-90.19305556
Tropicana Field,Tampa Bay Rays,TBR,AL,EAST,27.76833333,-82.65333333
Rangers Ballpark in Arlington,Texas Rangers,TEX,AL,WEST,32.75138889,-97.08277778
Rogers Centre,Toronto Blue Jays,TOR,AL,EAST,43.64138889,-79.38916667
Nationals Park,Washington Nationals,WAS,NL,EAST,38.87277778,-77.0075
